Frame,C009,C013,C005,C004,C012,C003,C023,C002,C001,C016,C000,C007,C011,C010,C006
7.861986,0.2731366,0.2836231,0.1213714,0.1175331,0.04708327,0.4525846,1.480342,-0.487682,0.5245276,1.203541,-0.2535702,0.04669177,0.8613759,-0.7115562,0.1558662
7.928613,-0.0798323,0.48015,0.07927292,-0.3229182,2.195146,-1.516124,0.01614079,-0.7178776,-0.6413609,-0.3352523,0.1529868,-0.8228418,-0.07624231,-1.656813,-0.5225111
7.99524,-0.4800373,0.09926333,0.5036479,0.1894996,0.03751085,-0.5005157,0.7293984,-1.082138,0.2879249,0.08822653,0.4363531,-0.07874973,1.181725,-0.08260895,-0.3187053
8.061867,0.4670919,1.000391,-0.2641312,-0.594224,0.1744858,-0.6165721,1.300014,2.598106,-0.0845689,1.157309,-0.5587485,-0.1086546,-2.047776,-0.2671701,-0.4122303
8.128494,0.09010638,-0.7976581,-0.3810653,0.6630307,0.8280362,-1.242268,0.1038873,0.7547626,0.4992881,0.1729189,-0.2365233,-0.4044442,-0.1495912,-0.8642024,-0.3091536
8.195121,0.5016592,-0.3846142,0.04998573,-0.2828273,0.9002228,0.9922367,0.2566148,0.4481857,0.5448961,0.2320182,-0.2254902,-0.01820263,-1.729373,-0.107466,-0.5245298
8.261748,-0.4002412,-0.8632039,0.2943813,-0.5038064,1.530849,0.1225671,0.5278766,0.07465037,-0.0834932,-0.1277798,0.2672798,-0.3626305,-2.358748,-0.1764663,-1.068212
8.328375,1.269876,-1.599087,0.05972338,-0.007277064,0.9332255,-0.7630221,0.9098465,-0.6407591,0.36072,0.777959,-0.3303883,-0.7792438,0.3516316,-1.358852,-0.5372096
8.395002,0.5419967,0.6519747,-0.07142054,0.1056185,0.7075276,-0.4832549,0.824522,0.0986938,0.6717023,0.255166,-0.1219829,-0.1064401,0.2095594,-0.368145,0.3864085
8.461629,0.7186307,0.1864893,-0.07510064,0.6754416,0.4119136,0.2740079,-0.283412,-0.2728652,0.03347064,-0.3478706,-0.006034231,-0.3552415,0.8803895,-0.9384577,-0.0113668
8.528256,-0.9923751,-0.03866464,-0.2270076,-0.2754571,1.152242,0.2813514,0.841319,-0.2585541,0.1881754,0.04513896,-0.2711715,-0.7669647,-0.3156868,0.1976217,-0.9119135
