Frame,C009,C005,C004,C008,C003,C019,C002,C001,C000,C007,C011,C010,C006
6.396192,-0.2179569,0.05645186,0.1185746,-0.6357322,0.4808554,-0.2978936,0.2589628,0.1917797,-0.1229206,-0.6121783,0.405656,0.4862705,0.04566503
6.462819,-0.1850706,0.1702683,0.1295616,-0.4852773,-0.1868598,0.05241146,-0.3148863,0.1195149,-0.2458017,-0.1923363,-0.4676671,0.09657521,-0.2286613
6.529446,-0.8467042,-0.1269578,0.1446779,-0.4603409,-0.496603,1.208197,0.9679434,-0.04595374,-0.3379371,-0.6076114,0.6485291,0.04135563,-0.184601
6.596073,-0.2108403,0.3875409,-0.1781304,-0.3249818,0.3540568,-0.9647755,-0.152843,-0.7292868,0.1719365,0.4376788,-0.3796749,-1.22082,-0.5672394
6.6627,-0.4006975,0.05584667,0.1499731,-0.5399979,-0.1219762,-0.09035014,-0.2447161,-0.5098145,-0.09801988,-0.9986141,0.5503337,-0.117484,-0.4453082
6.729327,-0.9270097,-0.4899772,0.3745182,-0.7800742,1.057881,0.3734681,1.029375,0.313933,-0.1969078,-1.546374,-0.5239251,0.4545635,-0.6050596
6.795954,-0.3621455,0.2959179,0.04169025,-0.2299294,-0.9006172,0.3029967,-0.6138707,-0.5161411,0.3708861,-0.06235026,-0.2607352,-0.005810797,0.1045066
6.862581,-1.156463,-1.129219,-0.3612997,-0.6843804,-0.1673179,-0.7277879,-1.510137,-0.609721,0.4654567,0.1111297,0.7837471,-0.657921,-0.1891328
6.929208,-0.04923637,-0.6387658,-0.4026776,-1.074397,0.8711587,-0.5809636,-0.3401847,-0.08777657,0.1931288,1.159747,-0.5759447,-1.075158,-0.3500792
6.995835,-0.2823474,-1.021904,-0.6342825,-0.4072475,-1.517283,0.990713,0.6210762,-0.2715884,0.07554249,0.7561236,-0.1428805,-1.609122,-0.3516891
7.062462,-0.1511405,-0.4575593,-0.4325218,-0.6438839,-0.7988022,-0.2864755,-0.1967985,0.0195716,0.3358997,0.9043694,0.7467055,-0.6902843,-0.3364332
7.129089,-0.3385158,-0.7474396,-0.1657117,-0.9408422,-0.4596284,1.091716,0.6024249,0.01592921,0.6252154,0.7190554,1.116963,-1.488845,-0.6163161
7.195716,-0.1102409,-0.03756548,-0.09499054,0.4032846,-0.6071718,0.3302778,0.03761023,0.5791317,1.539855,-0.1666821,0.5774093,-0.4554245,-0.01805341
7.262343,-0.3491217,-0.1463714,-0.1328987,-0.3127636,-0.1778868,0.1537503,-0.8134131,-0.5122146,0.6039536,-0.522447,0.4483222,0.1872552,-0.4531823
7.32897,-0.07538029,-0.4279798,-0.2525655,-0.4945332,-0.5899985,1.032273,0.5783504,-0.1106572,0.6392068,-0.3230467,0.3430692,-1.943311,-0.478652
7.395597,-0.3465655,-0.7994939,-0.2398463,-0.02363912,-0.6459802,-0.1398821,-0.528278,-0.2030448,0.5448171,0.7373106,0.6641408,-0.8925329,-0.4190441
7.462224,-0.2635533,-0.1292829,-0.1674055,0.3803638,0.02904091,-0.398313,-0.2298715,-0.288818,0.702751,-0.2474352,-0.2593956,-1.29448,-0.3476356
7.528851,-0.07725424,-0.02842845,-0.1348639,-0.2605359,-0.2971271,-0.1897601,0.3871841,0.3120058,0.1838596,0.2080496,-0.0357542,-1.133326,0.4339099
7.595478,-0.2760032,-0.6220922,-0.4325272,-0.4334258,-0.586985,0.8675392,-0.2894361,-0.6112583,0.1839849,-1.221869,1.966027,-0.8141537,0.08600055
7.662105,-0.614454,-0.2159589,0.06906688,-0.516931,0.3541145,0.2300514,0.03661926,0.4378011,-0.1716358,-0.5136195,0.3351286,-0.3240957,-0.03108308
7.728732,-0.2386429,0.2499105,-0.05463381,-0.08820581,-0.4371217,-0.04413287,0.2829968,-0.3451233,0.07703021,-0.2129005,0.9756089,-1.303377,-0.1023301
7.795359,-0.5506056,-0.2479262,-0.4287917,-0.7190492,-1.174134,0.4769833,0.5456529,0.5832959,-0.4332454,-1.460758,0.3902386,0.1123362,-0.4288515
7.861986,-0.08795509,-0.6275277,-0.3309563,-1.166294,0.6286954,0.197042,0.04733531,0.1989507,0.3610148,-0.9320621,1.327254,0.6629789,-0.5749133
7.928613,-0.1205647,-0.0347681,-0.113375,-0.2980702,-0.3074929,-0.2454788,-0.1061945,0.09305967,0.3498183,-0.1653831,0.5195789,-0.0422483,0.01061117
7.99524,-0.7220088,-0.2823551,-0.3850985,-0.5435776,-0.8768831,-0.2599909,1.64106,-0.5788527,0.2603259,-0.02203687,-0.2487735,-0.12465,-0.3562141
8.061867,-0.6240141,-0.5737699,-0.3205617,0.12357,-0.8292105,-0.3280471,0.5766689,-1.072,-0.4230801,0.2753052,1.843001,-0.7620411,-0.188765
8.128494,-0.1911643,-0.04969683,-0.1318615,0.410807,-0.3608941,0.8737924,-0.09043767,0.03510142,0.1698815,-0.8194785,0.8994328,-0.07595377,0.3435513
8.195121,-0.3669311,-0.473443,-0.4909292,0.0002702909,-0.08838349,0.460168,-0.01396249,0.04498108,0.08340028,-0.3461778,-0.7478722,0.1716374,-0.1305366
8.261748,-0.3693785,-0.7447768,-0.4962915,0.02883385,-0.1937581,-0.7646092,0.4212311,-0.2032195,0.1808438,-0.2578976,-0.0689899,0.3452382,-0.2854295
8.328375,-0.5312753,-0.227232,-0.05145935,-0.2277972,-0.5949545,0.7132115,-0.4089615,-0.5018634,0.5218458,0.5698704,-0.04557358,0.04702547,-0.08690434
8.395002,-0.04720141,-0.5454676,-0.4348701,-0.02321098,-0.2387666,-0.8783714,0.1930893,-0.1266209,0.2755043,-0.7879729,0.2183052,0.1346789,-0.40661
8.461629,-0.03588608,-0.7328965,-0.2291044,-0.450494,0.03404606,-0.3624207,0.2228185,-0.2471945,0.3468263,-0.2023984,0.5853685,-0.1242127,-0.4591768
8.528256,-0.2465871,-0.2527082,-0.06332539,-0.1065511,0.2033084,0.1941004,0.3812661,0.155291,-0.1621073,-0.6059163,1.657238,0.2441131,-0.318861
8.594883,-0.2345721,-0.3244773,-0.2817995,0.08162245,0.3318448,0.3022561,0.6484141,-0.1587729,0.06336814,-0.3275469,-0.1937803,-0.0141772,-0.9198929
8.66151,0.09113899,-0.9425893,-0.01158437,0.216112,-0.01986597,-0.4136418,0.5562993,-0.3364152,-0.01074605,0.2147188,0.8193561,0.3261399,-0.3960743
8.728137,-0.1897222,-0.4339424,-0.1657594,-0.04887772,-0.3928399,0.06930091,0.5360267,-0.1776304,-0.01759272,-0.1771839,-0.146367,0.5340949,-0.3160545
8.794764,-0.3269468,-0.3713249,-0.4771365,-0.1358572,0.448556,0.3470927,-0.8496493,0.05870183,0.006354908,0.2194953,0.09447995,0.9816051,-0.5430453
8.861391,-0.01221929,-0.6718458,-0.5095885,0.3745582,-0.521364,0.9672997,-0.8690241,0.2510666,0.5062654,-0.3343456,-0.0883262,-0.1601342,0.03882838
8.928018,-0.4229587,0.02938686,-0.250342,0.08088236,-1.020157,0.1467,0.1386692,-1.152657,-0.02782584,-1.46557,1.414125,-0.8080402,-0.3501442
8.994645,-0.5798939,-0.7058225,-0.5063604,0.3539136,-0.6978856,-0.492794,-0.311702,-0.3072871,0.4330529,-0.2997685,0.3251331,0.006080224,-0.9491683
9.061272,-0.3855756,-0.160646,-0.2895801,-0.1132089,-0.5843018,-0.2750093,-1.100362,-0.3881175,0.1635161,-0.6172026,0.03528603,-1.128119,-0.3467259
9.127899,-0.04584232,-0.6679985,-0.1629112,-0.005753248,1.08871,-0.1129471,-0.7298208,-0.7321367,-0.1496531,0.0955601,0.8638377,-0.5320264,-0.883432
9.194526,-1.006222,-0.327013,-0.02554857,-0.07061459,-0.04689877,0.4954128,-0.5199216,-0.4845499,0.06746156,0.06998597,1.195694,-0.06479055,-0.02940129
9.261153,0.1149332,-0.3129912,0.1418619,0.05248647,-1.427399,0.2954199,-0.005585292,-0.2854864,0.4131248,-0.4916097,1.497825,0.1184379,-0.4361424
9.32778,-0.2231835,-0.200666,-0.1834745,-0.1952124,-0.8104443,-0.03519684,-0.07882342,0.1978269,0.07994623,-0.1512192,0.3496993,-0.3226471,-0.3931152
9.394407,-0.3490395,-0.8033723,-0.1687101,0.1687436,-0.02714427,-0.8402588,-2.22121,-0.6629437,0.07066205,-0.02710109,1.918331,-0.6098056,-0.4096747
9.461034,-0.2417511,-0.5285203,-0.1096812,0.3991416,0.495084,0.07991079,-0.07593038,-0.3929643,0.3596307,-0.7536706,1.226246,0.7118013,-0.2825583
9.527661,0.133552,-1.116276,-0.3422428,-0.08718819,-0.5672446,0.2617119,0.140197,-0.5008929,-0.05283307,0.03981681,1.161443,-0.4053687,-0.5092293
9.594288,-0.4983945,-0.4323095,-0.2231358,0.1287744,-0.9889939,1.00894,0.1037873,-0.5734,-0.1753327,0.2029385,2.547093,0.5697965,0.08817726
9.660915,0.02430012,-1.106044,-0.2678119,0.3931623,-1.192465,0.01843003,1.502874,-0.7416546,-0.1118189,-1.046999,1.234025,-1.243955,0.01868831
9.727542,0.438092,0.02341054,-0.07237303,0.3986054,0.2025914,0.15455,0.4309295,0.4024132,0.5632783,-0.1139635,1.294328,0.5198154,0.5211488
9.794169,-0.5184335,0.4088662,-0.2668774,0.5106454,-0.4649374,0.6945121,-0.3876625,-0.5924184,-0.4067275,-0.3937682,1.198203,0.5783573,0.1794215
9.860796,0.01418303,-0.3118021,-0.1533435,0.8335133,-0.8631977,-0.2969869,-0.1994156,-0.06762676,-0.1935784,1.072906,0.005602449,-1.135174,0.3663675
9.927423,-0.06629341,-0.0007131881,-0.1276882,0.8865517,-0.2327505,0.3781235,-0.5606456,0.5447983,0.386673,0.1517378,0.1856843,0.4109626,-0.05091164
9.99405,0.2347197,-0.1936425,-0.6228061,0.1669261,-0.6334835,-0.2104788,1.048459,0.01753629,0.6834639,0.4305707,-0.343859,0.2154821,-0.05738615
10.060677,0.3877029,-0.2472724,-0.2275766,0.7201338,-0.3392929,1.021457,-0.4729691,0.4359311,-0.1161295,0.1137358,-0.1785037,0.7671037,1.827499
10.127304,-0.04555688,-0.4230141,-0.2564672,0.4100336,0.06204047,1.140806,0.5224896,-0.4009069,0.4410559,1.110651,-0.6880825,-0.508206,1.180243
10.193931,-0.2542792,-0.1880856,-0.178728,0.3530881,0.08503874,-0.5834757,-0.1784779,-0.281866,0.2884274,-1.035935,-0.1287332,0.4215407,0.6620141
10.260558,0.3406312,0.3231413,-0.1848134,0.9197603,-0.4296722,0.9193882,0.3143989,0.7621439,-0.1255086,-0.4391364,0.2255049,0.145689,1.605269
