Frame,C009,C025,C013,C005,C029,C028,C004,C012,C008,C015,C003,C019,C022,C018,C002,C014,C001,C017,C021,C020,C016,C000,C027,C050,C007,C011,C010,C006,C026,C030
3.731168,-0.2714999,-0.7561377,0.06809663,-0.3791713,-0.2576509,0.4424219,0.5747519,0.2353477,0.07466222,-0.7420515,0.07069014,1.092659,-0.747463,-0.3423136,-1.062582,0.4831152,-0.1484369,-0.02708254,0.0818598,-0.4342049,0.4919747,0.4893599,0.4204301,0.6532438,-0.5223938,1.002405,-0.1656825,-0.2844144,0.06985775,-0.3521006
3.797796,0.4538518,-1.241394,0.4089847,-0.3902159,-0.5080991,0.165506,1.759161,0.7687348,-0.692675,-0.3527798,0.07360274,-0.05754755,-0.3774694,-0.365083,-1.027522,1.217087,0.004882253,1.869166,-0.3210815,-0.8134785,0.6175065,0.354967,0.2752375,0.7888858,-0.2891334,0.6492061,-0.7050268,-0.3046677,-1.058124,-0.5485443
3.864424,-0.4273307,-0.9084237,-0.1054068,-0.09899153,-0.9196886,0.2539849,0.7245008,-0.1836816,-0.5071502,-0.5407921,-0.1353165,0.3218399,-1.009022,-0.2997055,-1.097809,1.221636,-0.3495418,-1.240744,0.04855076,-0.9251249,0.5957981,0.5081268,0.3908165,0.76939,-0.9530209,-0.003326023,-0.09906199,-0.2922664,-2.132713,-0.4897533
3.931052,-0.6492672,-1.161841,0.09955543,0.379772,-2.214896,0.8672743,0.8830633,-0.07742501,-0.9542103,-0.2035254,-0.6980643,-0.06809741,-0.7064467,0.4586297,-0.7697816,-0.7060844,-1.033635,0.5915131,0.1099606,-0.7871469,-0.8037834,0.1181599,0.5398765,0.662561,-2.014908,-0.06070646,1.06143,-0.5176903,-0.6691452,0.105511
3.99768,-0.3268408,-1.299121,0.5947567,0.4987084,-1.156562,0.4061232,0.3021686,0.6960604,-1.263441,-0.1791726,-0.4934876,0.07009121,-1.018466,-0.8314635,-0.7311575,0.3470938,-0.1831896,-0.9933722,-0.1101701,-0.4498617,-0.1065634,-0.0005411482,0.02766941,1.140054,-0.4948378,0.194949,0.6113572,-0.2410595,-1.133379,-0.6960568
4.064308,-0.5723895,-1.439174,0.1927846,-0.06238045,-1.441383,0.3367319,0.03423261,-0.4333827,-0.3635516,-0.2888006,0.4706267,-0.634395,-1.093651,-0.5040466,-0.4749219,0.3160464,0.131689,-0.8538914,0.2306534,-0.9477878,1.555922,-0.01467415,0.9633495,0.6694434,0.03737356,0.9355626,-0.5369598,0.3406168,-1.950286,-1.290146
4.130936,0.2832078,-1.133599,-0.9806523,-0.02285199,-0.5110431,1.15515,0.05037572,-0.3069177,-1.01397,-0.4763808,-0.06428815,-0.5907534,-0.2303292,-0.5432858,-0.4923338,0.9827786,-0.6467044,0.4042135,-0.5458245,0.5222371,-1.179109,-0.3087909,1.140185,0.8966958,-0.5263826,-0.05086371,-0.344913,-0.1130044,-0.4050165,-1.003079
4.197564,0.6818013,-0.6603162,0.5511507,0.6519964,-0.7165274,-0.1234602,0.8235412,0.7146393,-0.5989038,-0.6120343,1.075632,-0.6298756,-0.309109,-0.407297,-0.4024877,0.3542541,-0.1218755,0.637692,0.04308343,-0.2221935,-1.459482,0.0652799,0.5112965,0.06025849,-0.7043648,-0.6300234,-1.10035,-0.6888064,-0.8757488,-1.37733
4.264192,-0.7797918,-0.6577748,0.179785,-0.005821549,-0.447542,-0.3014109,-0.3128444,1.31142,-0.4539479,0.1452728,1.610886,-0.7145172,-0.4946904,-0.3698354,-0.7275001,-0.9933693,-0.326865,-0.2646393,-0.8298303,0.2101394,-0.2924665,-0.1620771,0.1928203,0.5677277,-0.7847858,-0.4257918,-0.4624598,-0.3482696,1.798946,-0.9363317
4.33082,-0.4377241,-1.083267,0.3769613,-0.1232552,-0.533609,-0.1731793,1.125957,1.460876,-0.6943432,-0.02196652,-0.156257,0.1984703,-1.62262,-0.07735237,-0.693412,-0.2213383,-0.3938583,1.477481,-1.024276,0.1103519,0.6173051,-0.0517379,0.1534366,0.1343034,-1.37544,0.0345939,0.09847962,-0.2225567,6.482137,-0.4423022
