Frame,C009,C013,C005,C004,C012,C008,C015,C003,C018,C002,C014,C001,C000,C007,C011,C010,C006
6.6627,-0.01150278,0.4022194,0.2671482,-0.1705953,-0.09896857,0.7524818,3.164635,3.068443,0.5107095,-0.3036451,-0.9171532,-0.1441719,-0.4759607,2.521966,0.01379967,1.525487,-0.3848758
6.729327,-0.8674148,1.384846,-0.1214613,0.08644646,-0.3182991,1.160462,1.608973,2.87795,-0.4411195,0.07143415,-0.4386912,-1.109235,-0.5064898,2.718358,-0.4041876,1.166847,0.7849165
6.795954,-0.5374545,1.465027,0.2093835,-0.6250747,-0.2048469,1.051694,1.035186,3.334217,-0.5598839,0.06318292,-0.2231599,-0.01941251,-0.34051,2.306942,-1.18566,1.639299,-0.8195785
6.862581,-1.064894,1.30757,0.180446,0.8579957,-0.2939069,1.107061,1.13604,2.562779,0.4361022,0.2557696,-1.164159,-0.8109216,0.304036,1.708461,-1.199492,0.8740169,0.4934055
6.929208,-1.30563,1.072892,0.04276676,0.04095908,-0.3212627,1.034991,1.250648,2.591815,0.7445535,0.2178203,-0.9461847,-0.7044784,-0.127473,1.466556,-0.3610709,1.235973,0.2550807
6.995835,-1.233962,1.173824,-0.3041049,0.1780554,-0.4519361,1.136999,1.645204,2.298417,0.7946739,-0.07544827,-0.9738343,-1.340964,-0.006620776,1.581254,-0.7500342,1.315131,0.03394645
7.062462,-0.03524796,1.124033,-0.0655061,0.1460406,-0.2248591,1.279751,0.7580701,1.922817,-0.7325616,-0.4167143,0.08543181,0.3253205,-0.1318202,1.002377,0.2677936,0.7203698,0.2581354
7.129089,0.09695369,0.8126112,-0.09841561,0.1524516,-0.2670521,1.24936,-0.3229345,2.261606,-0.1148325,-0.2267971,0.3780714,-0.7585166,0.355592,0.7702069,-0.7428678,1.102605,-0.2474518
7.195716,-0.5535733,1.18762,0.06760841,-0.2753134,-0.4772101,0.865624,0.6502854,1.519165,-0.5790913,0.04473861,-1.098324,-0.4704178,-0.5419045,1.075534,-0.6716626,0.550342,0.515254
7.262343,-2.143881,1.378499,-0.4223732,0.01319277,-0.4851788,0.6136451,0.3287106,0.890673,0.6590366,0.2369962,-0.07046728,-1.270926,-0.5439331,1.823677,-1.237233,0.4283141,-0.281313
7.32897,0.6918578,1.906105,-0.1616678,0.2962548,-0.7036824,1.362936,1.006454,2.226062,-0.6365123,-0.1217819,-0.9384595,0.07874972,-0.7641979,1.382833,-1.154115,1.068439,0.9838923
7.395597,0.1479917,1.726466,-0.3506573,-0.03297787,-0.4839047,0.8097844,0.8322063,1.754743,-0.2087906,-0.3988381,-0.854536,-0.6449426,-0.1870719,0.7303442,-0.3461938,0.04105246,0.070555
7.462224,0.1608685,1.892313,-0.07773593,0.03547237,-0.9228743,0.5017802,1.746046,1.617014,0.4333373,0.3172517,-1.472399,0.1547141,-0.2256614,0.8622029,-1.60658,0.714061,1.803657
7.528851,-0.8371521,0.7823015,0.1501587,0.7261004,-0.5260559,1.499128,1.648775,1.371352,-0.8963236,0.02006138,-0.5917361,-0.3068705,-0.465965,1.372332,-1.116227,1.05716,0.1666449
7.595478,-0.5589011,1.228653,-0.06502289,-0.3449876,-0.5871772,1.010497,1.51053,2.365886,-1.030321,0.1466364,-0.9539886,-0.3836985,-0.9101992,1.805467,-0.6903938,0.753949,1.723174
7.662105,-1.381005,0.8484271,0.1511146,-0.9199361,-0.7530144,1.501982,1.532187,3.110374,1.093546,-0.6533536,-0.8698603,-0.4765474,-1.089363,1.423641,-0.8329922,-0.1581693,0.506744
7.728732,0.2709284,0.449263,0.148894,0.6459576,-0.7372683,1.334216,0.7786931,3.618346,0.4977229,-0.4927863,-0.7580138,-1.25669,-0.3883788,-0.04750537,-0.2068401,0.7052336,0.960799
7.795359,0.07221799,0.9159551,-0.1105327,0.3711225,-0.8915287,1.185202,0.5231773,3.974538,-0.3425298,-0.1809108,-1.363008,-0.04285954,-0.4972607,0.3092727,-0.5958834,0.6576606,0.546753
7.861986,0.2771962,0.8293064,-0.2862348,0.4039419,-0.5045289,1.50506,1.297252,3.703314,1.256818,0.328627,-0.1788111,-0.2391539,-0.06559722,0.7083254,-0.4020179,0.3348034,0.6786776
7.928613,-0.8327849,0.9060364,0.1248402,-0.2339783,-0.4726252,1.146906,0.2583656,3.573153,-0.1173736,0.002704482,-0.8343347,-0.7601888,-0.5170918,0.3803292,-0.4718266,0.9875472,0.2365201
7.99524,-1.698637,1.236343,0.01883981,-0.2921041,-0.7703207,1.747789,0.9675957,3.68298,0.7184302,-0.304839,-1.193284,0.577806,-0.5445058,1.142489,-0.2692728,1.184403,0.5570531
8.061867,-0.4986135,1.386228,0.05381136,0.1427686,-0.8060459,1.303912,1.98289,2.63496,1.058688,0.09802509,-0.2054309,-0.6088949,-0.4626892,0.860792,-1.757679,0.6115344,0.4472557
8.128494,-0.1684169,1.537747,-0.1450466,-0.6996819,-0.5249861,1.130542,1.130735,3.103851,0.3660253,-0.5731821,-0.8027123,-1.298677,-0.07544233,0.7663743,-1.268859,0.5790516,0.193435
8.195121,0.9419944,1.141555,-0.06588309,0.6716076,-0.7022771,0.7941757,0.5802917,2.873899,-0.6791419,-0.1812173,-0.3537996,0.3859005,-0.2970324,0.5048345,-0.6928069,0.603817,0.645003
8.261748,-0.334043,0.8535231,0.273502,1.699314,-0.1817558,-0.04400681,0.1085144,2.379542,-0.4344104,-0.2978854,-0.7486721,0.4586347,-1.201604,0.9349344,-0.5450655,-0.1742091,-1.110101
8.328375,-1.222238,1.684849,-0.01523359,-0.4347968,-0.3569992,1.591497,2.175252,3.682202,1.469267,-0.1838575,-0.71863,0.5333243,-0.3896425,0.6963192,-1.057085,-0.1263689,0.9168004
